SMILES,targets
CCO,1
CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,1
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,1
CC(=O)N1CCN(C(=O)Cc2ccc(S(C)(=O)=O)cc2)[C@@H](CN2CC[C@H](O)C2)C1,0
CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,1
CNCCC(Oc1cccc2ccccc12)c1cccs1,1
CN(C)CCN1C(=O)CC(c2ccccc2)Sc2ccccc21,1
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](C[C@H](F)C4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,1
CNCCC=C1c2ccccc2C2CC2c2ccccc21,1
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,1
Nc1nc2ccc(OC(F)(F)F)cc2s1.[Cl-].[H+],1
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,1
O=C1NC(CCCl)Oc2ccccc21,1
CC(Cc1ccccc1)NO,0
CCC1(CC)C(=O)C=CNC1=O,1
CCCC[C@@H]1CC(=O)[C@]2(O)O[C@@H]3[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@H]3O[C@@H]2O1,0
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,1
NC(N)=N/N=C/c1c(Cl)cccc1Cl,0
O=C(CCCl)NCCc1ccccc1,1
CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,0
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,1
CCN1CCC(=C(c2ccccc2)c2ccccc2)C1.[Cl-].[H+],1
Cc1cccc2c1Oc1ccccc1C1(O)CCN(C)CC21,1
CCCN(CCC)CCc1cccc2c1CC(=O)N2,1
CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,0
CCC(=O)OC1CC(=O)OC(C)C/C=C/C=C\C(O)C(C)CC(CC=O)C(O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@H](OC(=O)CC)[C@@H](C)O3)[C@H](N(C)C)[C@H]2O)C1OC,0
Nc1nc(=S)c2[nH]cnc2[nH]1,0
